Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
1800's Terrorism,,,,,,,,,,,,,,
San Francisco Coal Miners Massacre (1849),media/1850_Woman_and_Men_in_California_Gold_Rush.jpg,Source: https://en.wikipedia.org/wiki/California_Gold_Rush,https://en.wikipedia.org/wiki/California_Gold_Rush#/media/File:1850_Woman_and_Men_in_California_Gold_Rush.jpg,"The Hounds were a nativist or anti-foreigner gang of San Francisco which specifically targeted recently arrived immigrants, particularly Hispanic Americans, during the California Gold Rush of 1849. This group attacked a Chilean mining community, raping women, burning houses, and lynching two men.",16,Numbered,blue,,38.264644,-119.575135,,,,
Pottawatomie Creek Massacre (1856),media/1846-47_John_Brown_by_Augustus_Washington_(without_frame).jpg,Source: https://en.wikipedia.org/wiki/John_Brown_(abolitionist),https://en.wikipedia.org/wiki/John_Brown_(abolitionist),"The Pottawatomie massacre occurred from May 23rd and continued until May 26th, 1856, with the killings occurring on the night of the 24th and morning of the 25th. Abolitionist John Brown with like-minded settlers killed five pro-slavery settlers north of Pottawatomie Creek in Franklin County, Kansas.",16,,blue,,38.574585,-95.323903,,,,
Mountain Meadows Massacre (1857),media/1846-47_John_Brown_by_Augustus_Washington_(without_frame).jpg,Source: https://en.wikipedia.org/wiki/Mountain_Meadows_Massacre,https://en.wikipedia.org/wiki/Mountain_Meadows_Massacre,"The Mountain Meadows massacre was a series of attacks on the Baker–Fancher emigrant wagon train, at Mountain Meadows in southern Utah. The attacks began on September 7 and culminated on September 11, 1857, resulting in the mass slaughter of the emigrant party by members of the Utah Territorial Militia from the Iron County district, a Mormon group, together with some Paiute Native Americans. Intending to leave no witnesses and thus prevent reprisals, the perpetrators killed all the adults and older children – about 120 men, women, and children in total. Seventeen children, all younger than seven, were spared.",16,,blue,,37.518396,-113.620063,,0.7,,
Harper's Ferry Massacre (1859),media/300px-HWFireHouseBrown.jpg,Source: https://en.wikipedia.org/wiki/John_Brown%27s_raid_on_Harpers_Ferry,,"White abolitionist John Brown leads raid on Harper's Ferry arsenal to get weapons for arming slaves to resist slavery. Most of his men were killed, and he was tried for treason and hanged.",16,,blue,,39.326302,-77.743114,,,,
Lincoln assassination (1865),media/Abraham_Lincoln_O-77_matte_collodion_print.jpg,Source: https://en.wikipedia.org/wiki/Abraham_Lincoln,,"Less than a week after Confederate general Robert E. Lee had surrendered to Union forces, marking the Union's victory in the American Civil War, a circle of Confederate sympathizers conspired to murder President Abraham Lincoln and members of his Cabinet in the hope of creating chaos and overthrowing the federal government. John Wilkes Booth successfully assassinated Lincoln.",14,,red,,38.914352,-77.022827,,,,
The Colfax Massacre (1873),media/250px-ColfaxMassacre.jpg,Source: https://en.wikipedia.org/wiki/Colfax_massacre,,"The Colfax Massacre occurred in Colfax, Louisiana on Easter Sunday, April 13, 1873.[43] Republicans had narrowly won the 1872 election to retain control of the state, but Democrats contested the results. Thousands of African-Americans were killed by domestic terrorists – white supremacist organizations such as the Knights of White Camellia and the Ku Klux Klan, who tried to reinforce antebellum policies of white supremacy.",14,,blue,,31.522035,-92.698622,,,,
Haymarket bombing (1886),media/250px-ColfaxMassacre.jpg,,,"Two workers were killed by police in the course of a confrontation between striking workers and strikebreakers in the streets of Chicago. During a rally the next day, an unknown assailant threw dynamite at a line of police officers; the explosion and the mutual violence that followed killed eight police officers and at least four civilians. The attacker was most likely an anarchist, although the trial that convicted the members of a local anarchist cell has since been criticized as unfair.",14,,red,,41.859991,-87.694927,,,,
1900's Terrorism,,,,,,,,,,,,,,
Milwaukee Police Department bombing (1917),"media/220px-Evening_Capital_News_-_Boise,_Idaho_-_November_25,_1917.jpg",Source: https://en.wikipedia.org/wiki/Milwaukee_Police_Department_bombing,,"The Milwaukee Police Department bombing was a November 24, 1917, bomb attack that killed ten people including nine members of local law enforcement. The perpetrators were never caught but are suspected to be an anarchist terrorist cell operating in the United States in the early 20th century. The target was an evangelical church in the Third Ward but killed only the police officers when the bomb was brought to the police station by a concerned member of the public.",14,,red,,43.042425,-87.921122,,,,
Wall Street bombing (1920),media/325px-Wallstreetbmb.jpg,Source: https://en.wikipedia.org/wiki/Wall_Street_bombing,,"The Wall Street bombing was a terrorist incident on September 16, 1920, in the Financial District of New York City. A horse-drawn wagon filled with 100 pounds (45 kg) of dynamite was stationed across the street from the headquarters of the J.P. Morgan Bank. The explosion killed 38 and injured 400. Even though no one was found guilty, it is believed that the act was carried out by followers of Luigi Galleani.",14,,orange,,40.707,-74.0103,,,,
Tulsa Race Massacre (1921),media/Tulsaraceriot1921-residentialblocksburneddown.jpg,Source: https://en.wikipedia.org/wiki/Tulsa_race_massacre,,"On May 31 and June 1, 1921, a white mob started the Tulsa race massacre attacking residents and businesses of the African-American community known as Black Wall Street, in the Greenwood area in Tulsa, Oklahoma, in what is considered one of the worst incidents of racial violence in United States History. The attack, carried out on the ground and by air, destroyed more than 35 blocks of the district, did $30 million (2017 dollars) in damage, left 10,000 people homeless and up to 300 dead in a town considered the wealthiest black community in the nation.",14,,red,,36.1594,-95.9864,,,,
16th Street Baptist Church bombing (1963),media/16th_Street_Baptist_Church_bombing_girls.jpg,Source: https://en.wikipedia.org/wiki/16th_Street_Baptist_Church_bombing,,"On Sunday, September 15, 1963, members of the United Klans of America set a bomb consisting of a timing device and fifteen sticks of dynamite to explode at a historically black church in Birmingham, Alabama, that was a local focus of the Civil Rights struggle. The explosion killed four girls between the ages of 11 and 14 and did much other local damage. Three perpetrators were eventually caught years later and sentenced to life imprisonment for their roles. There had been other bombings in Birmingham, then grimly known as ""Bombingham"" for such attacks.",14,,orange,,33.516667,-86.815,,,,
